Date,Close
4/9/2019,80.8
4/10/2019,80.82
4/11/2019,79.84
4/12/2019,79.43
4/15/2019,78.53
4/16/2019,77.56
4/17/2019,73.92
4/18/2019,73.19
4/22/2019,73.46
4/23/2019,74.6
4/24/2019,74.73
4/25/2019,76.34
4/26/2019,76.63
4/29/2019,76.78
4/30/2019,78.71
5/1/2019,78.72
5/2/2019,79.52
5/3/2019,80
5/6/2019,79.48
5/7/2019,77.9
5/8/2019,78.18
5/9/2019,78.33
5/10/2019,78.19
5/13/2019,77.17
5/14/2019,77.42
5/15/2019,77.55
5/16/2019,79.13
5/17/2019,78.72
5/20/2019,78.88
5/21/2019,79.5
5/22/2019,80.98
5/23/2019,81.02
5/24/2019,81.17
5/28/2019,80.26
5/29/2019,79.36
5/30/2019,79.68
5/31/2019,79.21
6/3/2019,80.26
6/4/2019,81.08
6/5/2019,81.69
6/6/2019,81.44
6/7/2019,82.46
6/10/2019,82.48
6/11/2019,82.98
6/12/2019,83.71
6/13/2019,82.9
6/14/2019,82.78
6/17/2019,83.3
6/18/2019,84.49
6/19/2019,85.36
6/20/2019,84.6
6/21/2019,84.57
6/24/2019,85.51
6/25/2019,85.24
6/26/2019,83.54
6/27/2019,83.83
6/28/2019,83.85
7/1/2019,84.75
7/2/2019,85.51
7/3/2019,86.9
7/5/2019,85.6
7/8/2019,84.04
7/9/2019,84.86
7/10/2019,84.82
7/11/2019,81
7/12/2019,79.73
7/15/2019,80.96
7/16/2019,81.59
7/17/2019,81.92
7/18/2019,82.69
7/19/2019,81.39
7/22/2019,81.21
7/23/2019,82.03
7/24/2019,81.75
7/25/2019,81.75
7/26/2019,81.43
7/29/2019,82.49
7/30/2019,83.27
7/31/2019,82.99
8/1/2019,83.69
8/2/2019,84.47
8/5/2019,83.12
8/6/2019,84.35
8/7/2019,84.25
8/8/2019,84.73
8/9/2019,85.52
8/12/2019,85.02
8/13/2019,86.08
8/14/2019,83.4
8/15/2019,83.46
8/16/2019,85.06
8/19/2019,86.19
8/20/2019,85.65
8/21/2019,86.91
8/22/2019,86.72
8/23/2019,84.94
8/26/2019,85.88
8/27/2019,85.52
8/28/2019,86.48
8/29/2019,86.72
8/30/2019,86.47
9/3/2019,86.65
9/4/2019,86.05
9/5/2019,86.1
9/6/2019,86.57
9/9/2019,83.47
9/10/2019,81.69
9/11/2019,82.92
9/12/2019,83.31
9/13/2019,82.61
9/16/2019,82.03
9/17/2019,82.51
9/18/2019,83.02
9/19/2019,83.97
9/20/2019,85.16
9/23/2019,84.36
9/24/2019,83.6
9/25/2019,83.1
9/26/2019,83.88
9/27/2019,82.91
9/30/2019,84.18
10/1/2019,83.61
10/2/2019,81.62
10/3/2019,82.74
10/4/2019,85
10/7/2019,84.39
10/8/2019,83.29
10/9/2019,84.18
10/10/2019,83.76
10/11/2019,84.34
10/14/2019,84.69
10/15/2019,85.04
10/16/2019,84.45
10/17/2019,83.8
10/18/2019,84.68
10/21/2019,84.52
10/22/2019,81.3
10/23/2019,82.87
10/24/2019,82.58
10/25/2019,82.26
10/28/2019,82.2
10/29/2019,85.1
10/30/2019,86.22
10/31/2019,86.66
11/1/2019,84.94
11/4/2019,83.9
11/5/2019,82.92
11/6/2019,83.25
11/7/2019,82.88
11/8/2019,83.59
11/11/2019,83.28
11/12/2019,84.12
11/13/2019,84.82
11/14/2019,84.55
11/15/2019,84.9
11/18/2019,84.13
11/19/2019,84.65
11/20/2019,85.27
11/21/2019,85.46
11/22/2019,85.45
11/25/2019,85.7
11/26/2019,87.34
11/27/2019,87.61
11/29/2019,87.18
12/2/2019,87.04
12/3/2019,87.38
12/4/2019,88.67
12/5/2019,88.75
12/6/2019,88.85
12/9/2019,88.72
12/10/2019,89.1
12/11/2019,88.98
12/12/2019,89.57
12/13/2019,89.19
12/16/2019,89.29
12/17/2019,89.02
12/18/2019,89.62
12/19/2019,89.99
12/20/2019,91.58
12/23/2019,91.74
12/24/2019,91.44
12/26/2019,91.34
12/27/2019,91.5
12/30/2019,91.03
12/31/2019,90.95
1/2/2020,92.04
1/3/2020,91.25
1/6/2020,91.64
1/7/2020,89.2
1/8/2020,88.6
1/9/2020,89.38
1/10/2020,89.53
1/13/2020,89.51
1/14/2020,89.93
1/15/2020,91.54
1/16/2020,91.18
1/17/2020,90.97
1/21/2020,89.97
1/22/2020,89.65
1/23/2020,88.56
1/24/2020,85.98
1/27/2020,86.1
1/28/2020,86.25
1/29/2020,87.24
1/30/2020,86.5
1/31/2020,85.44
2/3/2020,87.34
2/4/2020,88.36
2/5/2020,85.83
2/6/2020,85.68
2/7/2020,85.08
2/10/2020,85.66
2/11/2020,85.25
2/12/2020,83.25
2/13/2020,81.97
2/14/2020,82.65
2/18/2020,82.46
2/19/2020,82
2/20/2020,82.49
2/21/2020,82.34
2/24/2020,81.33
2/25/2020,80.27
2/26/2020,79.94
2/27/2020,78.08
2/28/2020,76.56
3/2/2020,81.37
3/3/2020,79.13
3/4/2020,82.97
3/5/2020,81.58
3/6/2020,82.2
3/9/2020,78.96
3/10/2020,82.02
3/11/2020,79.25
3/12/2020,74.45
3/13/2020,76.75
3/16/2020,69.92
3/17/2020,74.48
3/18/2020,71.63
3/19/2020,70.73
3/20/2020,71.36
3/23/2020,66.4
3/24/2020,69.05
3/25/2020,68.22
3/26/2020,73.53
3/27/2020,71.73
3/30/2020,76.95
3/31/2020,76.94
4/1/2020,73.8
4/2/2020,76.87
4/3/2020,76.25
4/6/2020,80.31
4/7/2020,78.56
4/8/2020,81.62
4/9/2020,82.49
